island_identification_code,island,station_name,species_name,survey_year,flowering_date,day
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2005,NA,NA
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2006,16-mai,136
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2007,09-juin,160
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2008,25-mai,145
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2009,02-juin,153
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2010,22-mai,142
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2011,03-juin,154
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2012,25-mai,145
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2013,29-mai,149
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2014,03-juin,154
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2015,07-juin,158
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2016,22-mai,142
FANT,du Fantôme,Fantôme 1,Dryas.integrifolia,2017,00-janv,NA
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2004,05-juin,156
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2005,29-mai,149
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2006,20-mai,140
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2007,07-juin,158
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2008,26-mai,146
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2009,27-mai,147
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2010,18-mai,138
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2011,01-juin,152
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2012,24-mai,144
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2013,21-mai,141
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2014,01-juin,152
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2015,05-juin,156
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2016,27-mai,147
FANT,du Fantôme,Fantôme 3,Dryas.integrifolia,2017,06-juin,157
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2004,NA,NA
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2005,NA,NA
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2006,16-mai,136
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2007,04-juin,155
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2008,24-mai,144
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2009,29-mai,149
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2010,23-mai,143
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2011,06-juin,157
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2012,23-mai,143
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2013,29-mai,149
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2014,31-mai,151
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2015,06-juin,157
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2016,27-mai,147
HAVR,du Havre,Pointe de chasse 1,Dryas.integrifolia,2017,00-janv,NA
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2004,NA,NA
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2005,NA,NA
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2006,NA,NA
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2007,09-juin,160
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2008,04-juin,155
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2009,05-juin,156
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2010,30-mai,150
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2011,08-juin,159
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2012,31-mai,151
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2013,06-juin,157
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2014,05-juin,156
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2015,06-juin,157
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2016,26-mai,146
HAVR,du Havre,Pointe de chasse 3,Dryas.integrifolia,2017,09-juin,160
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2004,NA,NA
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2005,22-juin,173
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2006,12-juin,163
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2007,28-juin,179
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2008,25-juin,176
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2009,25-juin,176
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2010,18-juin,169
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2011,27-juin,178
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2012,19-juin,170
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2013,24-juin,175
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2014,NA,NA
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2015,NA,NA
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2016,NA,NA
HAVR,du Havre,Tourbière île du Havre 2,Rhododendron.groenlandicum,2017,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2004,09-juil,190
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2005,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2006,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2007,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2008,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2009,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2010,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2011,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2012,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2013,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2014,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2015,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2016,NA,NA
HAVR,du Havre,Tourbière île du Havre,Rhododendron.groenlandicum,2017,NA,NA
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2004,NA,NA
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2005,NA,NA
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2006,NA,NA
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2007,09-mai,129
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2008,04-mai,124
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2009,12-mai,132
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2010,25-avr,115
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2011,11-mai,131
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2012,05-mai,125
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2013,27-avr,117
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2014,16-mai,136
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2015,18-mai,138
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2016,17-mai,137
HAVR,du Havre,Cap Corbeau 1,Saxifraga.oppositifolia,2017,15-mai,135
HAVR,du Havre,Cap Corbeau 2,Saxifraga.oppositifolia,2004,06-mai,126
HAVR,du Havre,Cap Corbeau 2,Saxifraga.oppositifolia,2005,05-mai,125
HAVR,du Havre,Cap Corbeau 2,Saxifraga.oppositifolia,2006,24-avr,114
HAVR,du Havre,Cap Corbeau 2,Saxifraga.oppositifolia,2007,04-mai,124
